platform,simulator,dataset_variant,perturbation,replicate,summary,score,delta,expected_damaged_layer,evidence_state
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,4,Balanced Realism,0.9272736734377103,-0.04264277920009085,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,4,Spatial Tissue Fidelity,0.949744795330458,-0.01770885001361755,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,4,Novelty-Gated Plausibility,0.0005365678391246008,0.00012745557241082718,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,0,Balanced Realism,0.8842266918764008,-0.08568976076140034,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,0,Spatial Tissue Fidelity,0.9300316796205254,-0.037421965723550166,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,0,Novelty-Gated Plausibility,0.0005669141135380652,0.00015780184682429157,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,1,Balanced Realism,0.8907637559707524,-0.07915269666704872,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,1,Spatial Tissue Fidelity,0.9372563780109995,-0.03019726733307604,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,1,Novelty-Gated Plausibility,0.0009027080048074405,0.0004935957380936668,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,2,Balanced Realism,0.8861630019412123,-0.0837534506965888,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,2,Spatial Tissue Fidelity,0.9314930968188607,-0.0359605485252148,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,2,Novelty-Gated Plausibility,0.0006527435457481031,0.00024363127903432945,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,3,Balanced Realism,0.8860963369232967,-0.08382011571450443,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,3,Spatial Tissue Fidelity,0.9329231971697635,-0.034530448174312056,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,3,Novelty-Gated Plausibility,0.0005139587062831475,0.00010484643956937392,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,4,Balanced Realism,0.880825307909827,-0.08909114472797408,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,4,Spatial Tissue Fidelity,0.9244037714164758,-0.043049873927599736,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_medium,4,Novelty-Gated Plausibility,0.0006336559168693238,0.00022454365015555023,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,0,Balanced Realism,0.8228301445983096,-0.14708630803949152,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,0,Spatial Tissue Fidelity,0.9157290514242007,-0.05172459391987483,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,0,Novelty-Gated Plausibility,0.0007181853432950937,0.0003090730765813201,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,1,Balanced Realism,0.8178215795400096,-0.15209487309779157,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,1,Spatial Tissue Fidelity,0.9086423427329983,-0.058811302611077254,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,1,Novelty-Gated Plausibility,0.0012758417218074996,0.000866729455093726,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,2,Balanced Realism,0.8210994611668622,-0.14881699147093896,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,2,Spatial Tissue Fidelity,0.9138615309615074,-0.05359211438256817,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_high,2,Novelty-Gated Plausibility,0.0005702003782827221,0.00016108811156894846,expression,computed
